corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
AEJ390,Stellar Securities Limited,BBQ743,LIAO Yee Ching,廖義禎,1
AEJ683,Selina & Co. Limited,AEY359,"LAI Wing Sze, Teresa Francesca",賴詠詩,1
AEJ683,Selina & Co. Limited,AAV691,LO Siu Fai,盧少輝,1
AEZ190,Success Securities Limited,ACJ830,"CHAN Pak Lam, Tom",陳柏楠,"1,4"
AEZ190,Success Securities Limited,AGX591,HO Lee Pui,何利培,1
AEZ190,Success Securities Limited,BAQ958,KWONG Wai Chung,鄺韋璁,1
AEZ190,Success Securities Limited,ATW745,PANG Wing Shing,彭永成,1
AEZ190,Success Securities Limited,AAJ966,YIM Siu Kei,嚴兆基,"1,4"
AFH614,Southwest Securities (HK) Asset Management Limited,AOB604,"TONG Shing, Johnson",唐誠,4
AFN604,Sino-Rich Securities & Futures Limited,ACJ251,BUDIHARDJO Wilhelm Soeharsono,沈振偉,"1,2,4,5,9"
AFN604,Sino-Rich Securities & Futures Limited,ACX640,CHEN Kin Shing,陳健成,"4,9"
AFN604,Sino-Rich Securities & Futures Limited,AYH663,CHEUNG Ka Ho,張家豪,"1,2,4,5,9"
AFN604,Sino-Rich Securities & Futures Limited,BPB590,LIU Chujun,劉楚君,"1,2,4,5"
AFN604,Sino-Rich Securities & Futures Limited,AMH385,SHING Yan,盛欣,"1,2"
AFN604,Sino-Rich Securities & Futures Limited,AMN889,WANG Bo,王波,"1,4,9"
AFT391,Softech Investment Management Company Limited,ADH521,"CHAN Kok Chung, Johnny",陳覺忠,"4,9"
AFT391,Softech Investment Management Company Limited,ABQ936,OWEN Robert John Richard,,"4,9"
AFT391,Softech Investment Management Company Limited,AQZ962,TAKAHASHI Shigenori,高橋繁典,"4,9"
AFT391,Softech Investment Management Company Limited,BIN766,WU Yi Chen,吳乙辰,"4,9"
AFU657,Silverstone Investments Limited,BPU185,LI Jing,李競,"4,6,9"
AFU657,Silverstone Investments Limited,AHC716,MAN Wing Pong,文永邦,"4,6,9"
AFU657,Silverstone Investments Limited,AVE823,ZHANG Feng,張鋒,6
AGD230,Simplex Asset Management (HK) Company Limited,ACS617,"CHEUNG Fan Lin, Flora",章訓蓮,"4,9"
AGD230,Simplex Asset Management (HK) Company Limited,AAE937,MIZUSHIMA Hiromasa,,"4,9"
AGD230,Simplex Asset Management (HK) Company Limited,AMU880,YUNG Yu Ming,翁耀明,9
AGH366,Samsung Securities (Asia) Limited,BBZ995,BAE Hyun Suk,,1
AGH366,Samsung Securities (Asia) Limited,ARH699,HAN Sung Joo,韓盛柱,"1,4"
AGH366,Samsung Securities (Asia) Limited,BSQ211,LEE Sangki,,"1,4"
AGH366,Samsung Securities (Asia) Limited,BAP751,"TSE Chi Shing, Christopher",謝志誠,4
AGL796,Superfund Financial (Hong Kong) Limited,BNY038,CHERIYIL Thomas Philip,,"1,4"
AGL796,Superfund Financial (Hong Kong) Limited,AUW502,KIM Hyung Eun,,"1,4"
AGK283,Shun Heng Securities Limited,AYI934,CHEN Zhenzhen,陳臻臻,1
AGK283,Shun Heng Securities Limited,ANB735,LIN Peicong,林培聰,1
AHC207,Sinomax Securities Limited,AQP754,CHAU Kin Sun,鄒健燊,"1,4"
AHC207,Sinomax Securities Limited,AIL177,LAM Suen Kit,林宣傑,1
AHC207,Sinomax Securities Limited,AXV108,NG Sik Chiu,吳錫釗,"1,4,9"
AHC207,Sinomax Securities Limited,ALD653,SY Man Chiu,許文超,"1,4,9"
AHC207,Sinomax Securities Limited,APB691,TSE Chi Ho,謝志豪,"1,4"
AIO087,SPARX Asia Investment Advisors Limited,AGL046,FONG Poh Chung,方寶畯,"4,9"
AIO087,SPARX Asia Investment Advisors Limited,BTQ885,FUKUMOTO Yusuke,,"4,9"
AIO087,SPARX Asia Investment Advisors Limited,AZE436,NG Tat Hong Alan,伍達康,"4,9"
AIO087,SPARX Asia Investment Advisors Limited,AOH485,SUZUKI Takeshi,鈴木剛,"4,9"
AJD758,SAIL Advisors Limited,AGZ747,CHENG Ivan Kwok Lueng,鄭國良,"4,9"
AJD758,SAIL Advisors Limited,BRN857,TAI Yung Yin,戴榕延,"4,9"
AJD758,SAIL Advisors Limited,ARH728,"TANG Shiu Hin, Andy",鄧肇顯,"4,9"
ALW590,State Street Global Advisors Singapore Limited,BBT978,ANDERSON Kevin David,,"4,9"
ALW590,State Street Global Advisors Singapore Limited,AIQ973,HUI Hoi Pan,許海濱,"4,9"
AOB632,Sirius Capital Partners Private Limited,ABG708,"TAN Woo Teck, Christopher",陳於狄,"1,4,9"
AOB632,Sirius Capital Partners Private Limited,AEB169,WANG Julius,王哲身,"1,4,9"
AOH442,SBI China Capital Asset Management Limited,BCF239,CHAN King Yeung,陳景揚,"4,9"
AOH442,SBI China Capital Asset Management Limited,BCF238,NG Siu Ching,伍少貞,9
AOH442,SBI China Capital Asset Management Limited,AVL281,YE Wenli,葉文莉,"4,9"
AOI818,Sculptor Capital Management Hong Kong Limited,AOB660,CHUN Julian Howe,陳嘉豪,"1,9"
AOI818,Sculptor Capital Management Hong Kong Limited,BHL332,COLBERG Adrian Alexander,,"1,9"
AOI818,Sculptor Capital Management Hong Kong Limited,ANQ097,SHEN Jiawen,沈佳雯,"1,9"
AOX743,SINO-CEEF Capital Management Company Limited,BRM416,CHEN Fei,陈飞,"4,9"
AOX743,SINO-CEEF Capital Management Company Limited,BHD944,CHEN Yejun,陳冶軍,"4,9"
AOX743,SINO-CEEF Capital Management Company Limited,AGN786,QIN Jing,秦靖,"4,9"
APF208,Shinhan Securities Asia Limited,BAC092,IM Jinseon,,9
APF208,Shinhan Securities Asia Limited,AWB625,LEE Jae Jun,,"1,4,9"
APF208,Shinhan Securities Asia Limited,BPL912,LEE Jihoon,李知勳,"1,4,9"
APX121,Segantii Capital Management Limited,AFF902,ERSOY Kurt Hakan,,9
