corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
AFB541,Avanta Investment Management Limited,ACT295,"CHOU Ping-chun, Benji",Benji,Ping-Chun,Chou,周秉鈞,"4,9"
AFB541,Avanta Investment Management Limited,AIE803,"TONG Wai Ming, Vivia",Vivia,Wai Ming,Tong,唐慧明,"4,9"
AFF862,Anuenue Advisors Limited,AEZ003,CHAN Anson,Anson,Anson,Chan,陳燿璋,"4,9"
AFF862,Anuenue Advisors Limited,AMS539,"YAU Shing Yam, Angela",Angela,Shing Yam,Yau,邱聖音,"4,9"
AFF862,Anuenue Advisors Limited,ABU336,YUEN Chi Fung,Chi Fung,Chi Fung,Yuen,袁志峰,4
AFE504,Ark Securities (Hong Kong) Limited,BRF995,GONG Ruixuan,Ruixuan,Ruixuan,Gong,龔瑞璇,"1,4,9"
AFE504,Ark Securities (Hong Kong) Limited,BHB451,NG Wing Hing,Wing Hing,Wing Hing,Ng,吳永興,6
AFE504,Ark Securities (Hong Kong) Limited,BGY848,SUN Charles Kar Jon,Charles,Charles Kar Jon,Sun,辛嘉俊,"1,4"
AFE504,Ark Securities (Hong Kong) Limited,BOR138,XU Linglin,Linglin,Linglin,Xu,徐玲淋,"1,4,6,9"
AFH256,Atlantis Investment Management Limited,BSM580,LIAO Shuli,Shuli,Shuli,Liao,廖舒立,"4,9"
AFH256,Atlantis Investment Management Limited,AGK177,LIU Yang,Yang,Yang,Liu,劉央,"4,9"
AFH646,Amova Asset Management Hong Kong Limited,BBX313,CHOI Hong Chun,Hong Chun,Hong Chun,Choi,蔡康進,"1,4,9"
AFH646,Amova Asset Management Hong Kong Limited,ABN601,GREATON Timothy Love,Timothy Love,Timothy Love,Greaton,,"1,4,9"
AFH646,Amova Asset Management Hong Kong Limited,AJK602,LAI Yeu Huan,Yeu Huan,Yeu Huan,Lai,,"1,4,9"
AFH646,Amova Asset Management Hong Kong Limited,BOG009,RYU Kiyotaka,Kiyotaka,Kiyotaka,Ryu,,"1,4,9"
AFZ323,Ample Capital Limited,BEO789,CHUNG Kam On,Kam On,Kam On,Chung,鍾錦安,6
AFZ323,Ample Capital Limited,AKO945,LAW Kit Ying,Kit Ying,Kit Ying,Law,羅潔盈,6
AFZ323,Ample Capital Limited,AWZ245,LIU Fang,Fang,Fang,Liu,劉芳,6
AFZ323,Ample Capital Limited,BGL256,MAK Tsz Fung,Tsz Fung,Tsz Fung,Mak,麥子豐,6
AFZ323,Ample Capital Limited,ADQ936,"TANG Ho Wai, Howard",Howard,Ho Wai,Tang,鄧澔暐,6
AFZ323,Ample Capital Limited,BJI728,"WONG Ka Chun, Matthew",Matthew,Ka Chun,Wong,黃家俊,6
AGA701,AASTOCKS.com Limited,AGB017,LU Pingxin,Pingxin,Pingxin,Lu,盧平欣,4
AGA701,AASTOCKS.com Limited,AGA702,TANG Yifan,Yifan,Yifan,Tang,唐一帆,4
AGB171,Axis Capital Management Limited,ACQ097,YU Gang,Gang,Gang,Yu,余剛,"4,9"
AGD056,AIF Capital Limited,AAN684,AMOUR Peter Francis,Peter,Peter Francis,Amour,,4
AGD056,AIF Capital Limited,AEN710,"CHUNG Yuk Mui, Theresa",Theresa,Yuk Mui,Chung,鍾玉梅,4
AGD056,AIF Capital Limited,AFT346,LEE Stephen,Stephen,Stephen,Lee,李嘉輝,4
AGL798,AJ SECURITIES LIMITED,ATB830,CHEN Hao,Hao,Hao,Chen,陳灝,"1,4"
AGL798,AJ SECURITIES LIMITED,AZY145,TSANG Hin Pan,Hin Pan,Hin Pan,Tsang,曾憲斌,"1,4"
AGL798,AJ SECURITIES LIMITED,ARK024,WU Luyin,Luyin,Luyin,Wu,吳律寅,"1,4"
AGY047,Absolute Investment Management (HK) Limited,AEO693,"LIN Chi Fai, Desmond",Desmond,Chi Fai,Lin,林智暉,"4,9"
AGY047,Absolute Investment Management (HK) Limited,AIR501,YIM Yu Tak,Yu Tak,Yu Tak,Yim,嚴汝德,"4,9"
AGH102,Altus Capital Limited,AGC368,CHANG Sean Pey,Sean Pey,Sean Pey,Chang,曾憲沛,"4,6,9"
AGH102,Altus Capital Limited,AAA935,"HO Shuk Yee, Samantha",Samantha,Shuk Yee,Ho,何淑懿,"4,9"
AGH102,Altus Capital Limited,ABX240,"IP Tin Chee, Arnold",Arnold,Tin Chee,Ip,葉天賜,"4,6,9"
AGH102,Altus Capital Limited,AYE286,"KHOO Wing Pui, Charlotte",Charlotte,Wing Pui,Khoo,邱詠培,6
AGH102,Altus Capital Limited,BHZ872,"LEE Lok Hin, Clement",Clement,Lok Hin,Lee,李洛軒,6
AGH102,Altus Capital Limited,ACA326,"LEUNG Churk Yin, Jeanny",Jeanny,Churk Yin,Leung,梁綽然,6
AGH102,Altus Capital Limited,ABF972,NG Meng Hua,Meng Hua,Meng Hua,Ng,黃明華,6
